Time	InhDendSyn0	InhDendSyn1	InhSomaSyn0	ExcSyn0	ExcSyn1	ExcSyn2
1066.68	0.000000	0.000000	0.000000	-0.114678	-0.115533	-0.120497
1067.58	0.000000	0.000000	0.000000	-0.113849	-0.114742	-0.119751
1068.48	0.000000	0.000000	0.000000	-0.113024	-0.113955	-0.119009
1069.39	0.000000	0.000000	0.000000	-0.112202	-0.113172	-0.118272
1070.29	0.000000	0.000000	0.000000	-0.111382	-0.112393	-0.117540
1071.19	0.000000	0.000000	0.000000	-0.110976	-0.112009	-0.117179
1072.1	0.000000	0.000000	0.000000	-0.110571	-0.111626	-0.116819
1073	0.000000	0.000000	0.000000	-0.110167	-0.111243	-0.116460
1073.9	0.000000	0.000000	0.000000	-0.109762	-0.110861	-0.116103
1074.81	0.000000	0.000000	0.000000	-0.109358	-0.110481	-0.115746
1075.71	0.000000	0.000000	0.000000	-0.108954	-0.110100	-0.115391
1076.61	0.000000	0.000000	0.000000	-0.108549	-0.109721	-0.115036
1077.52	0.000000	0.000000	0.000000	-0.108341	-0.109526	-0.114855
1078.42	0.000000	0.000000	0.000000	-0.108132	-0.109332	-0.114674
1079.32	0.000000	0.000000	0.000000	-0.107924	-0.109138	-0.114492
1080.22	0.000000	0.000000	0.000000	-0.107715	-0.108944	-0.114312
1081.13	0.000000	0.000000	0.000000	-0.107506	-0.108750	-0.114131
1082.03	0.000000	0.000000	0.000000	-0.107297	-0.108556	-0.113951
1082.93	0.000000	0.000000	0.000000	-0.107087	-0.108362	-0.113771
1083.84	0.000000	0.000000	0.000000	-0.106975	-0.108260	-0.113676
1084.74	0.000000	0.000000	0.000000	-0.106864	-0.108157	-0.113581
1085.64	0.000000	0.000000	0.000000	-0.106752	-0.108055	-0.113486
1086.55	0.000000	0.000000	0.000000	-0.106640	-0.107952	-0.113391
1087.45	0.000000	0.000000	0.000000	-0.106528	-0.107850	-0.113296
1088.35	0.000000	0.000000	0.000000	-0.106416	-0.107747	-0.113201
1089.26	0.000000	0.000000	0.000000	-0.106303	-0.107645	-0.113106
1090.16	0.000000	0.000000	0.000000	-0.106190	-0.107543	-0.113012
1091.06	0.000000	0.000000	0.000000	-0.106077	-0.107440	-0.112917
1091.97	0.000000	0.000000	0.000000	-0.105964	-0.107338	-0.112823
1092.87	0.000000	0.000000	0.000000	-0.105850	-0.107236	-0.112728
1093.77	0.000000	0.000000	0.000000	-0.105736	-0.107133	-0.112634
1094.68	0.000000	0.000000	0.000000	-0.105677	-0.107081	-0.112585
1095.58	0.000000	0.000000	0.000000	-0.105618	-0.107028	-0.112537
1096.48	0.000000	0.000000	0.000000	-0.105558	-0.106975	-0.112488
1097.39	0.000000	0.000000	0.000000	-0.105499	-0.106922	-0.112440
